assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,37605,0,0,-2,2,0,0,3,0,0,0,Mesut,0,0,0,0,1,FALSE,0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,0,37605.jpg,0,0,0,Özil,0.6,FALSE,,n,1,3,0,0,3331,1,51132,64,0,0,Özil,0
0,0,0,0,0,0,39476,0,0,-1,1,0,0,2,0,0,0,Sokratis,0,0,0,0,2,FALSE,0,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,0,39476.jpg,0,0,0,Papastathopoulos,0.1,FALSE,,n,1,3,0,0,10220,0,18467,6,0,0,Sokratis,0
0,0,51,75,75,0,41270,0,0,0,0,9.8,0,2,0,0.4,0,David,0,5,0,9.7,3,FALSE,66.6,319,Unknown - 75% chance of playing,2020-11-26T23:30:22.462494Z,55,0,0,0,41270.jpg,1.4,0,0,Luiz Moreira Marinho,0.9,FALSE,,d,1,3,21,7,36708,7,73762,597,0,1.3,David Luiz,0
1,1,115,100,100,3,54694,0,0,-4,4,162.2,0,3,3.2,3.7,0,Pierre-Emerick,3.2,10,2,49.1,4,FALSE,139,806,,2020-10-08T09:00:12.305506Z,116,0,0,0,54694.jpg,3.7,0,0,Aubameyang,11.3,FALSE,,a,1,3,190,33,457616,181,2810236,4664,0.3,2.8,Aubameyang,2
0,0,0,100,100,0,58822,0,0,-3,3,0,0,2,0,0.5,0,Cédric,0,0,0,0,5,FALSE,0,0,,2020-09-23T09:00:14.881983Z,47,0,0,0,58822.jpg,0,0,0,Soares,0.2,FALSE,,a,1,3,0,0,3151,13,32193,20,0,0,Cédric,0
0,3,88,,,2,59966,0,0,-2,2,73.8,0,4,1,1.5,0,Alexandre,1,5,3,38.3,6,FALSE,126.4,485,,,83,0,0,0,59966.jpg,3.9,0,0,Lacazette,2.9,FALSE,,a,1,3,186,27,268181,85,398570,959,0.1,3.3,Lacazette,1
0,0,13,100,100,0,69140,0,0,0,0,1,0,2,0.2,0.7,0,Shkodran,0.2,1,0,1.3,7,FALSE,11.6,44,,2020-08-15T10:00:11.331812Z,50,0,0,0,69140.jpg,1,0,0,Mustafi,0,FALSE,,a,1,3,0,2,11250,46,10992,13,0,0.4,Mustafi,0
0,5,179,,,3,80201,0,0,0,0,0,2,1,4.8,5.3,0,Bernd,4.8,10,0,20.3,8,FALSE,202.8,810,,,50,0,0,0,80201.jpg,4.2,0,25,Leno,9,FALSE,,a,1,3,0,38,395449,927,370236,846,1,7.6,Leno,0
0,0,57,,,2,84450,0,0,-2,2,34.5,0,3,0.8,1.3,0,Granit,0.8,6,0,12.7,9,FALSE,62.6,497,,,53,0,0,0,84450.jpg,1.9,0,0,Xhaka,0.5,FALSE,,a,1,3,30,13,22073,26,54070,92,0.2,2.5,Xhaka,1
0,0,0,25,25,0,92371,0,0,-1,1,0,0,2,0,0.1,0,Pablo,0,0,0,0,10,FALSE,0,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.357231Z,44,0,0,0,92371.jpg,0,0,0,Marí,0,FALSE,,d,1,3,0,0,307,1,752,3,0,0,Marí,0
3,9,181,,,3,98745,1,-1,2,-2,115.7,2,2,5.5,6,0,Héctor,5.5,10,0,30.6,11,FALSE,140.2,810,,,52,0,0,0,98745.jpg,4.8,0,0,Bellerín,10,FALSE,,a,1,3,49,43,642185,7911,279686,801,1.1,8.3,Bellerín,3
0,0,0,25,25,0,101184,0,0,0,0,0,0,2,0,0.1,0,Calum,0,0,0,0,13,FALSE,0,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.386295Z,45,0,0,0,101184.jpg,0,0,0,Chambers,0,FALSE,,d,1,3,0,0,383,0,972,4,0,0,Chambers,0
0,0,9,25,25,0,111457,0,0,-2,2,5.4,0,2,0,0.1,0,Sead,0,1,0,1.3,14,FALSE,3.6,90,Illness - 25% chance of playing,2020-11-18T14:00:19.656655Z,48,0,0,0,111457.jpg,2,0,0,Kolasinac,0.2,FALSE,,d,1,3,4,2,4735,5,17771,50,0,0.4,Kolasinac,0
0,0,38,,,1,154043,0,0,-3,3,4.3,0,2,0.5,1,0,Ainsley,0.5,3,0,3.2,15,FALSE,20.4,188,,,47,0,0,0,154043.jpg,2,0,0,Maitland-Niles,1,FALSE,,a,1,3,7,10,47531,52,125187,197,0.1,2.1,Maitland-Niles,0
0,0,121,100,100,3,156074,0,0,-1,1,3.7,0,2,3,3.5,0,Rob,3,7,0,12.4,16,FALSE,116.6,540,,2020-10-17T22:30:19.025474Z,44,0,0,0,156074.jpg,3.5,0,0,Holding,1.4,FALSE,,a,1,3,4,21,181822,396,201744,161,0.7,4.8,Holding,1
0,0,148,100,100,3,192895,0,0,-1,1,102.8,0,2,3.2,3.7,0,Kieran,3.2,9,0,27.1,17,FALSE,132.6,710,,2020-10-14T10:30:19.613747Z,54,0,0,0,192895.jpg,3.2,0,0,Tierney,5.1,FALSE,,a,1,3,35,26,126623,472,546318,456,0.6,4.8,Tierney,0
0,0,29,0,0,0,195735,0,0,-4,4,38.5,0,3,0,0,0,Nicolas,-0.2,6,1,16.2,18,FALSE,41.2,277,Suspended until 15 Dec,2020-11-22T18:30:18.803078Z,76,0,0,0,195735.jpg,1.4,1,0,Pépé,0.7,FALSE,,s,1,3,83,11,22120,3,131137,439,0,1.4,Pépé,0
0,0,0,0,0,0,198849,0,0,-3,3,0,0,3,0,0,0,Lucas,0,0,0,0,19,FALSE,0,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,0,198849.jpg,0,0,0,Torreira,0.1,FALSE,,n,1,3,0,0,3293,3,16497,11,0,0,Torreira,0
0,0,1,,,0,200089,0,0,-2,2,2.2,0,3,0.2,0.7,0,Joseph,0.2,0,0,0.7,20,FALSE,2.8,56,,,48,0,0,0,200089.jpg,1,0,0,Willock,0.1,FALSE,,a,1,3,2,1,2906,13,7194,21,0,0.2,Willock,0
0,0,1,100,100,0,200641,0,0,-3,3,4.2,0,3,0.2,0.7,0,Reiss,0.2,0,0,0.5,21,FALSE,1,45,,2020-11-06T01:00:21.188918Z,52,0,0,0,200641.jpg,1,0,0,Nelson,0,FALSE,,a,1,3,0,1,1273,19,5097,7,0,0.2,Nelson,0
0,3,51,,,0,205533,0,0,-4,4,25.4,0,4,0.5,1,0,Edward,0.5,3,1,13.7,22,FALSE,48,145,,,56,0,0,0,205533.jpg,1.9,0,0,Nketiah,0.6,FALSE,,a,1,3,66,15,33573,54,123803,184,0.1,2.7,Nketiah,0
0,0,0,100,100,0,209289,0,0,-1,1,0,0,3,0,0.5,0,Emile,0,0,0,0,23,FALSE,0,0,,2020-09-11T11:00:08.673059Z,44,0,0,0,209289.jpg,0,0,0,Smith Rowe,0.2,FALSE,,a,1,3,0,0,14286,35,17664,44,0,0,Smith Rowe,0
0,1,75,100,100,2,223340,0,0,-3,3,85.6,0,3,1,1.5,0,Bukayo,1,6,1,40.2,24,FALSE,103,543,,2020-11-22T18:30:18.841364Z,52,1,0,0,223340.jpg,2.7,0,0,Saka,2.6,FALSE,,a,1,3,213,19,116346,455,458251,800,0.2,3.7,Saka,0
0,0,0,0,0,0,242166,0,0,-3,3,0,0,3,0,0,0,Matteo,0,0,0,0,25,FALSE,0,0,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,0,0,0,242166.jpg,0,0,0,Guendouzi,0.1,FALSE,,n,1,3,0,0,2615,2,12302,13,0,0,Guendouzi,0
0,0,0,0,0,0,444145,0,0,-1,1,0,0,3,0,0,0,Gabriel Teodoro,0,0,0,0,26,FALSE,0,0,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,49,0,0,0,444145.jpg,0,0,0,Martinelli Silva,0,FALSE,,i,1,3,0,0,863,9,2400,5,0,0,Martinelli,0
